categoria,termino,tokenizer,orthographic_words,subtokens,excess_subtokens,subtokens_per_word,fragmented,token_pieces
colocacion_juridica,declarar la nulidad,BETO,3,4,1,1.3333333333333333,True,declarar | la | nu | ##lidad
colocacion_juridica,acordar el archivo,BETO,3,3,0,1.0,False,acordar | el | archivo
colocacion_juridica,notificar la resolución,BETO,3,3,0,1.0,False,notificar | la | resolución
colocacion_juridica,publicar la disposición,BETO,3,3,0,1.0,False,publicar | la | disposición
colocacion_juridica,interponer demanda,BETO,2,2,0,1.0,False,interponer | demanda
colocacion_juridica,presentar escrito,BETO,2,2,0,1.0,False,presentar | escrito
colocacion_juridica,aportar documentación,BETO,2,2,0,1.0,False,aportar | documentación
colocacion_juridica,subsanar defectos,BETO,2,4,2,2.0,True,subs | ##ana | ##r | defectos
colocacion_juridica,cumplir el requerimiento,BETO,3,3,0,1.0,False,cumplir | el | requerimiento
colocacion_juridica,agotar la vía administrativa,BETO,4,5,1,1.25,True,agota | ##r | la | vía | administrativa
colocacion_juridica,ejercer la potestad sancionadora,BETO,4,5,1,1.25,True,ejercer | la | potestad | sancion | ##adora
colocacion_juridica,adoptar medidas cautelares,BETO,3,4,1,1.3333333333333333,True,adoptar | medidas | caute | ##lares
colocacion_juridica,solicitar autorización,BETO,2,2,0,1.0,False,solicitar | autorización
colocacion_juridica,otorgar la concesión,BETO,3,3,0,1.0,False,otorgar | la | concesión
colocacion_juridica,revocar la autorización,BETO,3,4,1,1.3333333333333333,True,revo | ##car | la | autorización
formula_ritual,de conformidad con lo dispuesto en,BETO,6,6,0,1.0,False,de | conformidad | con | lo | dispuesto | en
formula_ritual,sin perjuicio de lo establecido en,BETO,6,6,0,1.0,False,sin | perjuicio | de | lo | establecido | en
formula_ritual,en virtud de lo previsto en,BETO,6,6,0,1.0,False,en | virtud | de | lo | previsto | en
formula_ritual,a los efectos de lo dispuesto en,BETO,7,7,0,1.0,False,a | los | efectos | de | lo | dispuesto | en
formula_ritual,de acuerdo con lo establecido en,BETO,6,6,0,1.0,False,de | acuerdo | con | lo | establecido | en
formula_ritual,con arreglo a lo dispuesto en,BETO,6,6,0,1.0,False,con | arreglo | a | lo | dispuesto | en
formula_ritual,al amparo de lo previsto en,BETO,6,6,0,1.0,False,al | amparo | de | lo | previsto | en
formula_ritual,en cumplimiento de lo establecido en,BETO,6,6,0,1.0,False,en | cumplimiento | de | lo | establecido | en
formula_ritual,de conformidad con la normativa aplicable,BETO,6,6,0,1.0,False,de | conformidad | con | la | normativa | aplicable
formula_ritual,en uso de las atribuciones conferidas,BETO,6,7,1,1.1666666666666667,True,en | uso | de | las | atribuciones | confer | ##idas
formula_ritual,en el ejercicio de las competencias atribuidas,BETO,7,7,0,1.0,False,en | el | ejercicio | de | las | competencias | atribuidas
formula_ritual,por todo lo expuesto,BETO,4,4,0,1.0,False,por | todo | lo | expuesto
formula_ritual,en atención a lo expuesto,BETO,5,5,0,1.0,False,en | atención | a | lo | expuesto
formula_ritual,visto el expediente,BETO,3,3,0,1.0,False,visto | el | expediente
formula_ritual,vistos los preceptos citados,BETO,4,4,0,1.0,False,vistos | los | preceptos | citados
formula_ritual,oídas las partes,BETO,3,4,1,1.3333333333333333,True,oí | ##das | las | partes
formula_ritual,previo informe favorable,BETO,3,3,0,1.0,False,previo | informe | favorable
formula_ritual,previa audiencia de los interesados,BETO,5,5,0,1.0,False,previa | audiencia | de | los | interesados
formula_ritual,una vez cumplidos los trámites preceptivos,BETO,6,8,2,1.3333333333333333,True,una | vez | cumplido | ##s | los | trámites | precep | ##tivos
formula_ritual,contra la presente resolución podrá interponerse,BETO,6,7,1,1.1666666666666667,True,contra | la | presente | resolución | podrá | interponer | ##se
formula_ritual,la presente resolución pone fin a la vía administrativa,BETO,9,9,0,1.0,False,la | presente | resolución | pone | fin | a | la | vía | administrativa
formula_ritual,notifíquese a las partes,BETO,4,6,2,1.5,True,noti | ##fí | ##quese | a | las | partes
formula_ritual,publíquese en el Boletín Oficial del Estado,BETO,7,9,2,1.2857142857142858,True,pub | ##lí | ##quese | en | el | Boletín | Oficial | del | Estado
formula_ritual,comuníquese a los interesados,BETO,4,6,2,1.5,True,comun | ##íqu | ##ese | a | los | interesados
formula_ritual,y para que conste,BETO,4,4,0,1.0,False,y | para | que | conste
formula_ritual,así lo acuerda y firma,BETO,5,5,0,1.0,False,así | lo | acuerda | y | firma
formula_ritual,dado en Madrid,BETO,3,3,0,1.0,False,dado | en | Madrid
formula_ritual,por delegación,BETO,2,2,0,1.0,False,por | delegación
formula_ritual,en nombre del Rey,BETO,4,4,0,1.0,False,en | nombre | del | Rey
formula_ritual,he resuelto,BETO,2,2,0,1.0,False,he | resuelto
formula_ritual,se dispone,BETO,2,2,0,1.0,False,se | dispone
formula_ritual,se hace saber,BETO,3,3,0,1.0,False,se | hace | saber
formula_ritual,queda derogada,BETO,2,3,1,1.5,True,queda | deroga | ##da
formula_ritual,entrará en vigor,BETO,3,3,0,1.0,False,entrará | en | vigor
formula_ritual,lo que se comunica para su conocimiento y efectos,BETO,9,9,0,1.0,False,lo | que | se | comunica | para | su | conocimiento | y | efectos
termino_tecnico_o_arcaismo,providencia,BETO,1,2,1,2.0,True,provi | ##dencia
termino_tecnico_o_arcaismo,emplazamiento,BETO,1,1,0,1.0,False,emplazamiento
termino_tecnico_o_arcaismo,recurrente,BETO,1,1,0,1.0,False,recurrente
termino_tecnico_o_arcaismo,recurrido,BETO,1,2,1,2.0,True,recur | ##rido
termino_tecnico_o_arcaismo,litispendencia,BETO,1,4,3,4.0,True,liti | ##s | ##pen | ##dencia
termino_tecnico_o_arcaismo,preclusión,BETO,1,3,2,3.0,True,prec | ##lus | ##ión
termino_tecnico_o_arcaismo,caducidad,BETO,1,2,1,2.0,True,cadu | ##cidad
termino_tecnico_o_arcaismo,prescripción,BETO,1,1,0,1.0,False,prescripción
termino_tecnico_o_arcaismo,legitimación activa,BETO,2,4,2,2.0,True,legi | ##tima | ##ción | activa
termino_tecnico_o_arcaismo,legitimación pasiva,BETO,2,5,3,2.5,True,legi | ##tima | ##ción | pas | ##iva
termino_tecnico_o_arcaismo,jurisdicción,BETO,1,1,0,1.0,False,jurisdicción
termino_tecnico_o_arcaismo,competencia objetiva,BETO,2,2,0,1.0,False,competencia | objetiva
termino_tecnico_o_arcaismo,competencia territorial,BETO,2,2,0,1.0,False,competencia | territorial
termino_tecnico_o_arcaismo,cosa juzgada,BETO,2,3,1,1.5,True,cosa | juz | ##gada
termino_tecnico_o_arcaismo,tutela judicial efectiva,BETO,3,3,0,1.0,False,tutela | judicial | efectiva
termino_tecnico_o_arcaismo,silencio administrativo,BETO,2,2,0,1.0,False,silencio | administrativo
termino_tecnico_o_arcaismo,desviación de poder,BETO,3,3,0,1.0,False,desviación | de | poder
termino_tecnico_o_arcaismo,acto administrativo,BETO,2,2,0,1.0,False,acto | administrativo
termino_tecnico_o_arcaismo,potestad reglamentaria,BETO,2,3,1,1.5,True,potestad | reglament | ##aria
termino_tecnico_o_arcaismo,responsabilidad patrimonial,BETO,2,3,1,1.5,True,responsabilidad | patri | ##monial
termino_tecnico_o_arcaismo,recurso de alzada,BETO,3,3,0,1.0,False,recurso | de | alzada
termino_tecnico_o_arcaismo,recurso de reposición,BETO,3,3,0,1.0,False,recurso | de | reposición
termino_tecnico_o_arcaismo,procedimiento sancionador,BETO,2,3,1,1.5,True,procedimiento | sancion | ##ador
termino_tecnico_o_arcaismo,medida cautelar,BETO,2,3,1,1.5,True,medida | caute | ##lar
termino_tecnico_o_arcaismo,interés legítimo,BETO,2,2,0,1.0,False,interés | legítimo
latinismo,ad hoc,RoBERTalex,2,2,0,1.0,False,Ġad | Ġhoc
latinismo,ad cautelam,RoBERTalex,2,4,2,2.0,True,Ġad | Ġcau | te | lam
latinismo,ad personam,RoBERTalex,2,2,0,1.0,False,Ġad | Ġpersonam
latinismo,a fortiori,RoBERTalex,2,4,2,2.0,True,Ġa | Ġfor | ti | ori
latinismo,a priori,RoBERTalex,2,2,0,1.0,False,Ġa | Ġpriori
latinismo,a posteriori,RoBERTalex,2,2,0,1.0,False,Ġa | Ġposteriori
latinismo,ex ante,RoBERTalex,2,2,0,1.0,False,Ġex | Ġante
latinismo,ex post,RoBERTalex,2,2,0,1.0,False,Ġex | Ġpost
latinismo,ex officio,RoBERTalex,2,3,1,1.5,True,Ġex | Ġof | ficio
latinismo,in dubio pro reo,RoBERTalex,4,4,0,1.0,False,Ġin | Ġdubio | Ġpro | Ġreo
latinismo,iura novit curia,RoBERTalex,3,6,3,2.0,True,Ġi | ura | Ġnov | it | Ġcur | ia
latinismo,lex specialis derogat legi generali,RoBERTalex,5,8,3,1.6,True,Ġlex | Ġspecial | is | Ġderoga | t | Ġlegi | Ġgeneral | i
latinismo,lex posterior derogat priori,RoBERTalex,4,5,1,1.25,True,Ġlex | Ġposterior | Ġderoga | t | Ġpriori
latinismo,mutatis mutandis,RoBERTalex,2,2,0,1.0,False,Ġmutatis | Ġmutandis
latinismo,non bis in idem,RoBERTalex,4,5,1,1.25,True,Ġnon | Ġbis | Ġin | Ġide | m
latinismo,per se,RoBERTalex,2,2,0,1.0,False,Ġper | Ġse
latinismo,prima facie,RoBERTalex,2,3,1,1.5,True,Ġprima | Ġfa | cie
latinismo,ratio decidendi,RoBERTalex,2,3,1,1.5,True,Ġratio | Ġdeciden | di
latinismo,obiter dictum,RoBERTalex,2,5,3,2.5,True,Ġo | bi | ter | Ġdic | tum
latinismo,sui generis,RoBERTalex,2,4,2,2.0,True,Ġsu | i | Ġgener | is
latinismo,ultra vires,RoBERTalex,2,3,1,1.5,True,Ġultra | Ġvi | res
latinismo,inter partes,RoBERTalex,2,2,0,1.0,False,Ġinter | Ġpartes
latinismo,erga omnes,RoBERTalex,2,3,1,1.5,True,Ġer | ga | Ġomnes
latinismo,fumus boni iuris,RoBERTalex,3,6,3,2.0,True,Ġfum | us | Ġbon | i | Ġi | uris
latinismo,periculum in mora,RoBERTalex,3,5,2,1.6666666666666667,True,Ġper | icul | um | Ġin | Ġmora
latinismo,pacta sunt servanda,RoBERTalex,3,6,3,2.0,True,Ġpacta | Ġs | unt | Ġser | van | da
latinismo,rebus sic stantibus,RoBERTalex,3,6,3,2.0,True,Ġre | bus | Ġsic | Ġst | anti | bus
latinismo,de lege lata,RoBERTalex,3,5,2,1.6666666666666667,True,Ġde | Ġleg | e | Ġla | ta
latinismo,de lege ferenda,RoBERTalex,3,5,2,1.6666666666666667,True,Ġde | Ġleg | e | Ġfer | enda
latinismo,locus standi,RoBERTalex,2,4,2,2.0,True,Ġlo | cus | Ġstan | di
colocacion_juridica,interponer recurso,RoBERTalex,2,2,0,1.0,False,Ġinterponer | Ġrecurso
colocacion_juridica,formular alegaciones,RoBERTalex,2,2,0,1.0,False,Ġformular | Ġalegaciones
colocacion_juridica,dictar sentencia,RoBERTalex,2,2,0,1.0,False,Ġdictar | Ġsentencia
colocacion_juridica,dictar resolución,RoBERTalex,2,2,0,1.0,False,Ġdictar | ĠresoluciÃ³n
colocacion_juridica,emitir informe,RoBERTalex,2,2,0,1.0,False,Ġemitir | Ġinforme
colocacion_juridica,incoar expediente,RoBERTalex,2,2,0,1.0,False,Ġincoar | Ġexpediente
colocacion_juridica,tramitar expediente,RoBERTalex,2,2,0,1.0,False,Ġtramitar | Ġexpediente
colocacion_juridica,resolver el procedimiento,RoBERTalex,3,3,0,1.0,False,Ġresolver | Ġel | Ġprocedimiento
colocacion_juridica,practicar diligencias,RoBERTalex,2,2,0,1.0,False,Ġpracticar | Ġdiligencias
colocacion_juridica,evacuar trámite,RoBERTalex,2,2,0,1.0,False,Ġevacuar | ĠtrÃ¡mite
colocacion_juridica,conceder audiencia,RoBERTalex,2,2,0,1.0,False,Ġconceder | Ġaudiencia
colocacion_juridica,abrir período de prueba,RoBERTalex,4,4,0,1.0,False,Ġabrir | ĠperÃŃodo | Ġde | Ġprueba
colocacion_juridica,admitir a trámite,RoBERTalex,3,3,0,1.0,False,Ġadmitir | Ġa | ĠtrÃ¡mite
colocacion_juridica,inadmitir el recurso,RoBERTalex,3,3,0,1.0,False,Ġinadmitir | Ġel | Ġrecurso
colocacion_juridica,estimar la demanda,RoBERTalex,3,3,0,1.0,False,Ġestimar | Ġla | Ġdemanda
colocacion_juridica,desestimar la pretensión,RoBERTalex,3,3,0,1.0,False,Ġdesestimar | Ġla | ĠpretensiÃ³n
colocacion_juridica,estimar parcialmente,RoBERTalex,2,2,0,1.0,False,Ġestimar | Ġparcialmente
colocacion_juridica,imponer las costas,RoBERTalex,3,3,0,1.0,False,Ġimponer | Ġlas | Ġcostas
colocacion_juridica,absolver al acusado,RoBERTalex,3,4,1,1.3333333333333333,True,Ġabsol | ver | Ġal | Ġacusado
colocacion_juridica,condenar al demandado,RoBERTalex,3,3,0,1.0,False,Ġcondenar | Ġal | Ġdemandado
colocacion_juridica,declarar la nulidad,RoBERTalex,3,3,0,1.0,False,Ġdeclarar | Ġla | Ġnulidad
colocacion_juridica,acordar el archivo,RoBERTalex,3,3,0,1.0,False,Ġacordar | Ġel | Ġarchivo
colocacion_juridica,notificar la resolución,RoBERTalex,3,3,0,1.0,False,Ġnotificar | Ġla | ĠresoluciÃ³n
colocacion_juridica,publicar la disposición,RoBERTalex,3,3,0,1.0,False,Ġpublicar | Ġla | ĠdisposiciÃ³n
colocacion_juridica,interponer demanda,RoBERTalex,2,2,0,1.0,False,Ġinterponer | Ġdemanda
colocacion_juridica,presentar escrito,RoBERTalex,2,2,0,1.0,False,Ġpresentar | Ġescrito
colocacion_juridica,aportar documentación,RoBERTalex,2,2,0,1.0,False,Ġaportar | ĠdocumentaciÃ³n
colocacion_juridica,subsanar defectos,RoBERTalex,2,2,0,1.0,False,Ġsubsanar | Ġdefectos
colocacion_juridica,cumplir el requerimiento,RoBERTalex,3,3,0,1.0,False,Ġcumplir | Ġel | Ġrequerimiento
colocacion_juridica,agotar la vía administrativa,RoBERTalex,4,4,0,1.0,False,Ġagotar | Ġla | ĠvÃŃa | Ġadministrativa
colocacion_juridica,ejercer la potestad sancionadora,RoBERTalex,4,4,0,1.0,False,Ġejercer | Ġla | Ġpotestad | Ġsancionadora
colocacion_juridica,adoptar medidas cautelares,RoBERTalex,3,3,0,1.0,False,Ġadoptar | Ġmedidas | Ġcautelares
colocacion_juridica,solicitar autorización,RoBERTalex,2,2,0,1.0,False,Ġsolicitar | ĠautorizaciÃ³n
colocacion_juridica,otorgar la concesión,RoBERTalex,3,3,0,1.0,False,Ġotorgar | Ġla | ĠconcesiÃ³n
colocacion_juridica,revocar la autorización,RoBERTalex,3,3,0,1.0,False,Ġrevocar | Ġla | ĠautorizaciÃ³n
formula_ritual,de conformidad con lo dispuesto en,RoBERTalex,6,6,0,1.0,False,Ġde | Ġconformidad | Ġcon | Ġlo | Ġdispuesto | Ġen
formula_ritual,sin perjuicio de lo establecido en,RoBERTalex,6,6,0,1.0,False,Ġsin | Ġperjuicio | Ġde | Ġlo | Ġestablecido | Ġen
formula_ritual,en virtud de lo previsto en,RoBERTalex,6,6,0,1.0,False,Ġen | Ġvirtud | Ġde | Ġlo | Ġprevisto | Ġen
formula_ritual,a los efectos de lo dispuesto en,RoBERTalex,7,7,0,1.0,False,Ġa | Ġlos | Ġefectos | Ġde | Ġlo | Ġdispuesto | Ġen
formula_ritual,de acuerdo con lo establecido en,RoBERTalex,6,6,0,1.0,False,Ġde | Ġacuerdo | Ġcon | Ġlo | Ġestablecido | Ġen
formula_ritual,con arreglo a lo dispuesto en,RoBERTalex,6,6,0,1.0,False,Ġcon | Ġarreglo | Ġa | Ġlo | Ġdispuesto | Ġen
formula_ritual,al amparo de lo previsto en,RoBERTalex,6,6,0,1.0,False,Ġal | Ġamparo | Ġde | Ġlo | Ġprevisto | Ġen
formula_ritual,en cumplimiento de lo establecido en,RoBERTalex,6,6,0,1.0,False,Ġen | Ġcumplimiento | Ġde | Ġlo | Ġestablecido | Ġen
formula_ritual,de conformidad con la normativa aplicable,RoBERTalex,6,6,0,1.0,False,Ġde | Ġconformidad | Ġcon | Ġla | Ġnormativa | Ġaplicable
formula_ritual,en uso de las atribuciones conferidas,RoBERTalex,6,6,0,1.0,False,Ġen | Ġuso | Ġde | Ġlas | Ġatribuciones | Ġconferidas
formula_ritual,en el ejercicio de las competencias atribuidas,RoBERTalex,7,7,0,1.0,False,Ġen | Ġel | Ġejercicio | Ġde | Ġlas | Ġcompetencias | Ġatribuidas
formula_ritual,por todo lo expuesto,RoBERTalex,4,4,0,1.0,False,Ġpor | Ġtodo | Ġlo | Ġexpuesto
formula_ritual,en atención a lo expuesto,RoBERTalex,5,5,0,1.0,False,Ġen | ĠatenciÃ³n | Ġa | Ġlo | Ġexpuesto
formula_ritual,visto el expediente,RoBERTalex,3,3,0,1.0,False,Ġvisto | Ġel | Ġexpediente
formula_ritual,vistos los preceptos citados,RoBERTalex,4,4,0,1.0,False,Ġvistos | Ġlos | Ġpreceptos | Ġcitados
formula_ritual,oídas las partes,RoBERTalex,3,3,0,1.0,False,ĠoÃŃdas | Ġlas | Ġpartes
formula_ritual,previo informe favorable,RoBERTalex,3,3,0,1.0,False,Ġprevio | Ġinforme | Ġfavorable
formula_ritual,previa audiencia de los interesados,RoBERTalex,5,5,0,1.0,False,Ġprevia | Ġaudiencia | Ġde | Ġlos | Ġinteresados
formula_ritual,una vez cumplidos los trámites preceptivos,RoBERTalex,6,6,0,1.0,False,Ġuna | Ġvez | Ġcumplidos | Ġlos | ĠtrÃ¡mites | Ġpreceptivos
formula_ritual,contra la presente resolución podrá interponerse,RoBERTalex,6,6,0,1.0,False,Ġcontra | Ġla | Ġpresente | ĠresoluciÃ³n | ĠpodrÃ¡ | Ġinterponerse
formula_ritual,la presente resolución pone fin a la vía administrativa,RoBERTalex,9,9,0,1.0,False,Ġla | Ġpresente | ĠresoluciÃ³n | Ġpone | Ġfin | Ġa | Ġla | ĠvÃŃa | Ġadministrativa
formula_ritual,notifíquese a las partes,RoBERTalex,4,5,1,1.25,True,Ġnoti | fÃŃquese | Ġa | Ġlas | Ġpartes
formula_ritual,publíquese en el Boletín Oficial del Estado,RoBERTalex,7,8,1,1.1428571428571428,True,Ġpubl | ÃŃquese | Ġen | Ġel | ĠBoletÃŃn | ĠOficial | Ġdel | ĠEstado
formula_ritual,comuníquese a los interesados,RoBERTalex,4,5,1,1.25,True,Ġcomun | ÃŃquese | Ġa | Ġlos | Ġinteresados
formula_ritual,y para que conste,RoBERTalex,4,4,0,1.0,False,Ġy | Ġpara | Ġque | Ġconste
formula_ritual,así lo acuerda y firma,RoBERTalex,5,5,0,1.0,False,ĠasÃŃ | Ġlo | Ġacuerda | Ġy | Ġfirma
formula_ritual,dado en Madrid,RoBERTalex,3,3,0,1.0,False,Ġdado | Ġen | ĠMadrid
formula_ritual,por delegación,RoBERTalex,2,2,0,1.0,False,Ġpor | ĠdelegaciÃ³n
formula_ritual,en nombre del Rey,RoBERTalex,4,4,0,1.0,False,Ġen | Ġnombre | Ġdel | ĠRey
formula_ritual,he resuelto,RoBERTalex,2,2,0,1.0,False,Ġhe | Ġresuelto
formula_ritual,se dispone,RoBERTalex,2,2,0,1.0,False,Ġse | Ġdispone
formula_ritual,se hace saber,RoBERTalex,3,3,0,1.0,False,Ġse | Ġhace | Ġsaber
formula_ritual,queda derogada,RoBERTalex,2,2,0,1.0,False,Ġqueda | Ġderogada
formula_ritual,entrará en vigor,RoBERTalex,3,3,0,1.0,False,ĠentrarÃ¡ | Ġen | Ġvigor
formula_ritual,lo que se comunica para su conocimiento y efectos,RoBERTalex,9,9,0,1.0,False,Ġlo | Ġque | Ġse | Ġcomunica | Ġpara | Ġsu | Ġconocimiento | Ġy | Ġefectos
termino_tecnico_o_arcaismo,providencia,RoBERTalex,1,1,0,1.0,False,Ġprovidencia
termino_tecnico_o_arcaismo,emplazamiento,RoBERTalex,1,1,0,1.0,False,Ġemplazamiento
termino_tecnico_o_arcaismo,recurrente,RoBERTalex,1,1,0,1.0,False,Ġrecurrente
termino_tecnico_o_arcaismo,recurrido,RoBERTalex,1,1,0,1.0,False,Ġrecurrido
termino_tecnico_o_arcaismo,litispendencia,RoBERTalex,1,4,3,4.0,True,Ġliti | sp | en | dencia
termino_tecnico_o_arcaismo,preclusión,RoBERTalex,1,3,2,3.0,True,Ġprec | l | usiÃ³n
termino_tecnico_o_arcaismo,caducidad,RoBERTalex,1,1,0,1.0,False,Ġcaducidad
termino_tecnico_o_arcaismo,prescripción,RoBERTalex,1,1,0,1.0,False,ĠprescripciÃ³n
termino_tecnico_o_arcaismo,legitimación activa,RoBERTalex,2,2,0,1.0,False,ĠlegitimaciÃ³n | Ġactiva
termino_tecnico_o_arcaismo,legitimación pasiva,RoBERTalex,2,2,0,1.0,False,ĠlegitimaciÃ³n | Ġpasiva
termino_tecnico_o_arcaismo,jurisdicción,RoBERTalex,1,1,0,1.0,False,ĠjurisdicciÃ³n
termino_tecnico_o_arcaismo,competencia objetiva,RoBERTalex,2,2,0,1.0,False,Ġcompetencia | Ġobjetiva
termino_tecnico_o_arcaismo,competencia territorial,RoBERTalex,2,2,0,1.0,False,Ġcompetencia | Ġterritorial
termino_tecnico_o_arcaismo,cosa juzgada,RoBERTalex,2,2,0,1.0,False,Ġcosa | Ġjuzgada
termino_tecnico_o_arcaismo,tutela judicial efectiva,RoBERTalex,3,3,0,1.0,False,Ġtutela | Ġjudicial | Ġefectiva
termino_tecnico_o_arcaismo,silencio administrativo,RoBERTalex,2,2,0,1.0,False,Ġsilencio | Ġadministrativo
termino_tecnico_o_arcaismo,desviación de poder,RoBERTalex,3,3,0,1.0,False,ĠdesviaciÃ³n | Ġde | Ġpoder
termino_tecnico_o_arcaismo,acto administrativo,RoBERTalex,2,2,0,1.0,False,Ġacto | Ġadministrativo
termino_tecnico_o_arcaismo,potestad reglamentaria,RoBERTalex,2,2,0,1.0,False,Ġpotestad | Ġreglamentaria
termino_tecnico_o_arcaismo,responsabilidad patrimonial,RoBERTalex,2,2,0,1.0,False,Ġresponsabilidad | Ġpatrimonial
termino_tecnico_o_arcaismo,recurso de alzada,RoBERTalex,3,3,0,1.0,False,Ġrecurso | Ġde | Ġalzada
termino_tecnico_o_arcaismo,recurso de reposición,RoBERTalex,3,3,0,1.0,False,Ġrecurso | Ġde | ĠreposiciÃ³n
termino_tecnico_o_arcaismo,procedimiento sancionador,RoBERTalex,2,2,0,1.0,False,Ġprocedimiento | Ġsancionador
termino_tecnico_o_arcaismo,medida cautelar,RoBERTalex,2,2,0,1.0,False,Ġmedida | Ġcautelar
termino_tecnico_o_arcaismo,interés legítimo,RoBERTalex,2,2,0,1.0,False,ĠinterÃ©s | ĠlegÃŃtimo
latinismo,ad hoc,MEL,2,2,0,1.0,False,▁ad | ▁hoc
latinismo,ad cautelam,MEL,2,3,1,1.5,True,▁ad | ▁cautela | m
latinismo,ad personam,MEL,2,3,1,1.5,True,▁ad | ▁persona | m
latinismo,a fortiori,MEL,2,4,2,2.0,True,▁a | ▁for | ti | ori
latinismo,a priori,MEL,2,2,0,1.0,False,▁a | ▁priori
latinismo,a posteriori,MEL,2,3,1,1.5,True,▁a | ▁posterior | i
latinismo,ex ante,MEL,2,2,0,1.0,False,▁ex | ▁ante
